OriginalTitle,PotentialTitle,Year,MovieID,SourcePDF
Entre tinieblas,Hijos del viento: Entre la luz y las tinieblas,2000,tt0240576,PISO 7.pdf
Justicia nuestra,Tribunales: Nuestra justicia a través de los siglos,2011,tt1792148,PISO 7.pdf
Bleach: the diamonddust rebellion :the,Bleach the Movie: The DiamondDust Rebellion,2007,tt1148261,PISO 7.pdf
"corazón de la noche, La",El corazón de la noche,1984,tt0085364,PISO 7.pdf
"Fuentes , El",Corrida de Fuentes y Lagartijillo en el toreo,1911,tt0387140,PISO 7.pdf
