id,title_spanish,title_english,director,raw_line,raw_text
103,Boris Grushenko = Love and death,,,103 Boris Grushenko = Love and death,103 Boris Grushenko = Love and death
104,Amor y muerte,Scoop,Woody Allen,104 Amor y muerte = Scoop Dir. Woody Allen,104 Amor y muerte = Scoop Dir. Woody Allen
105,"Amores de Romaine, Los",Romanie,Agnés Obadia,"105 Amores de Romaine, Los = Romanie Dir. Agnés Obadia","105 Amores de Romaine, Los = Romanie Dir. Agnés Obadia"
106,Amores enredos y una boda,,Clare Kilner,106 Amores enredos y una boda Dir. Clare Kilner,106 Amores enredos y una boda Dir. Clare Kilner
107,Amores perros,,Alejandro González Iñarritu,107 Amores perros Dir. Alejandro González Iñarritu,107 Amores perros Dir. Alejandro González Iñarritu
108,Amour,,Michael Haneke,108 Amour Dir. Michael Haneke,108 Amour Dir. Michael Haneke
109,sangrienta,,,109 sangrienta,109 sangrienta
110,Andrei Rublev,,Andrei Tarkovski,110 Andrei Rublev Dir. Andrei Tarkovski,110 Andrei Rublev Dir. Andrei Tarkovski
111,"Ángel azul, El",The Blue Angel,Josef von Sternberg,"111 Ángel azul, El = The Blue Angel Dir. Josef von Sternberg","111 Ángel azul, El = The Blue Angel Dir. Josef von Sternberg"
112,"Angel borracho, El",,Akira Kurosawa,"112 Angel borracho, El Dir. Akira Kurosawa","112 Angel borracho, El Dir. Akira Kurosawa"
113,Angel de la oscuridad,,Dimitri Logothetis,113 Angel de la oscuridad Dir. Dimitri Logothetis..,113 Angel de la oscuridad Dir. Dimitri Logothetis..
114,"Ángel oscuro, El",,Craig R,"114 Ángel oscuro, El Dir.  Craig R. Baxley","114 Ángel oscuro, El Dir.  Craig R. Baxley"
115,"Angel del deseo, El (Passion play)",,Mitch Glazer,"115 Angel del deseo, El (Passion play) Dir. Mitch Glazer","115 Angel del deseo, El (Passion play) Dir. Mitch Glazer"
116,Angel exterminador. El,,Luis Buñuel,116 Angel exterminador. El Dir. Luis Buñuel,116 Angel exterminador. El Dir. Luis Buñuel
117,Angel-A,,Luc Besson,117 Angel-A Dir. Luc Besson.,117 Angel-A Dir. Luc Besson.
118,Angel malvado,,Joseph Ruben,118 Angel malvado Dir.Joseph Ruben,118 Angel malvado Dir.Joseph Ruben
119,confidential,,,119 confidential,119 confidential
120,Ángeles caídos Fallen angels,,Wong Kar-Wai,120 Ángeles caídos Fallen angels Dir. Wong Kar-Wai.,120 Ángeles caídos Fallen angels Dir. Wong Kar-Wai.
121,Angeles de Charlie al limite,,McGynty Nichol,121 Angeles de Charlie al limite Dir. McGynty Nichol,121 Angeles de Charlie al limite Dir. McGynty Nichol
122,Animales fantásticos,,David Yates,122 Animales fantásticos Dir. David Yates,122 Animales fantásticos Dir. David Yates
123,Ánimas Trujano,,Ismael Rodríguez,123 Ánimas Trujano Dir. Ismael Rodríguez,123 Ánimas Trujano Dir. Ismael Rodríguez
124,Anita no pierde el tren,,Ventura Pons,124 Anita no pierde el tren Dir. Ventura Pons,124 Anita no pierde el tren Dir. Ventura Pons
125,Anna Karenina,,Julien Duvivier,125 Anna Karenina Dir. Julien Duvivier,125 Anna Karenina Dir. Julien Duvivier
126,Anna y el Rey,,Andy Tenant,126 Anna y el Rey Dir. Andy Tenant,126 Anna y el Rey Dir. Andy Tenant
127,Annabelle,,John R,127 Annabelle Dir. John R. Leonetti,127 Annabelle Dir. John R. Leonetti
128,Annie Hall,,Woody Allen,128 Annie Hall Dir. Woody Allen,128 Annie Hall Dir. Woody Allen
129,Ansiedad,,Miguel Zacarías,129 Ansiedad Dir. Miguel Zacarías,129 Ansiedad Dir. Miguel Zacarías
130,Antes del atardecer,Before sunset,Richard Linklater,130 Antes del atardecer = Before sunset Dir. Richard Linklater.,130 Antes del atardecer = Before sunset Dir. Richard Linklater.
131,Antes de partir (The bucket list) Dir: Rob Reiner,,,131 Antes de partir (The bucket list) Dir: Rob Reiner,131 Antes de partir (The bucket list) Dir: Rob Reiner
132,Anticristo,,Lars Von Trier,132 Anticristo Dir. Lars Von Trier,132 Anticristo Dir. Lars Von Trier
133,Antwone Fishers,,Denzel Washigton,133 Antwone Fishers Dir. Denzel Washigton,133 Antwone Fishers Dir. Denzel Washigton
134,Año bisiesto.,,Michael Rowe,134 Año bisiesto. Dir. Michael Rowe.,134 Año bisiesto. Dir. Michael Rowe.
135,Año del dragón.El,,Michael Cimino,135 Año del dragón.El Dir.Michael Cimino,135 Año del dragón.El Dir.Michael Cimino
136,Año nuevo del  dragón.El,,Yuen Woo-Ping,136 Año nuevo del  dragón.El Dir.Yuen Woo-Ping,136 Año nuevo del  dragón.El Dir.Yuen Woo-Ping
137,Año nuevo New year’s eve,,Garry Marshall,137 Año nuevo New year’s eve Dir. Garry Marshall,137 Año nuevo New year’s eve Dir. Garry Marshall
138,"Apando, El",,Felipe Cazals,"138 Apando, El Dir. Felipe Cazals","138 Apando, El Dir. Felipe Cazals"
139,Coppola,,,139 Coppola,139 Coppola
140,Apocalypto,,Mel Gibson,140 Apocalypto Dir. Mel Gibson,140 Apocalypto Dir. Mel Gibson
141,Apolo 13 Dir: Ron Howard,,,141 Apolo 13 Dir: Ron Howard,141 Apolo 13 Dir: Ron Howard
142,Apuesta final Rounders John Dahl,,,142 Apuesta final Rounders John Dahl,142 Apuesta final Rounders John Dahl
143,Arahan: amo de las  artes marciales,,Ryoo Seung-wan,143 Arahan: amo de las  artes marciales Dir.Ryoo Seung-wan,143 Arahan: amo de las  artes marciales Dir.Ryoo Seung-wan
144,Arca de Noe,,John Irving,144 Arca de Noe Dir. John Irving ;,144 Arca de Noe Dir. John Irving ;
145,"Arca rusa, El",,"Sukurov, Alexander","145 Arca rusa, El Dir. Sukurov, Alexander","145 Arca rusa, El Dir. Sukurov, Alexander"
146,Arena roja,,Alex Turner,146 Arena roja Dir. Alex Turner,146 Arena roja Dir. Alex Turner
147,Argo,,Ben Affleck,147 Argo Dir. Ben Affleck,147 Argo Dir. Ben Affleck
148,Arma virtual so close,,Cory Yuen,148 Arma virtual so close Dir. Cory Yuen,148 Arma virtual so close Dir. Cory Yuen
149,"Aro, El",The ring,Gore Verbinski,"149 Aro, El = The ring Dir. Gore Verbinski","149 Aro, El = The ring Dir. Gore Verbinski"
150,"Aroma del exíto, El",,Michael Polish,"150 Aroma del exíto, El Dir. Michael Polish","150 Aroma del exíto, El Dir. Michael Polish"
151,Arráncame la vida,,Roberto Sneider,151 Arráncame la vida Dir. Roberto Sneider,151 Arráncame la vida Dir. Roberto Sneider
152,"Arte de matar,El",,Christian Duguay,"152 Arte de matar,El Dir.Christian Duguay","152 Arte de matar,El Dir.Christian Duguay"
153,"Arte de matar,El 3",,Gerry Lively,"153 Arte de matar,El 3 Dir. Gerry Lively","153 Arte de matar,El 3 Dir. Gerry Lively"
154,Arte del diablo 2,,Pasith Buranajan,154 Arte del diablo 2 Dir. Pasith Buranajan,154 Arte del diablo 2 Dir. Pasith Buranajan
