id,title_spanish,title_english,director,raw_line,raw_text
1,A corazón abierto,Open hearts,Susanne Bier,1 A corazón abierto = Open hearts Dir. Susanne Bier,1 A corazón abierto = Open hearts Dir. Susanne Bier
2,we go now,,,2 we go now,2 we go now
3,that into you,,,3 that into you,3 that into you
4,heaven,,,4 heaven,4 heaven
5,Hunt for the Unicorn Killer,,,5 Hunt for the Unicorn Killer,5 Hunt for the Unicorn Killer
6,A few good men,Cuestion de honor,Rob Reiner,6 A few good men = Cuestion de honor Dir. Rob Reiner,6 A few good men = Cuestion de honor Dir. Rob Reiner
7,A media escalera,Halbe treppe,Andreas Dressen,7 A media escalera = Halbe treppe Dir. Andreas Dressen,7 A media escalera = Halbe treppe Dir. Andreas Dressen
8,A paso de cojo,,Luis Alcoriza,8 A paso de cojo Dir. Luis Alcoriza,8 A paso de cojo Dir. Luis Alcoriza
9,A prueba de balas,Bulletproof,Ernest Dickerson,9 A prueba de balas = Bulletproof Dir. Ernest Dickerson,9 A prueba de balas = Bulletproof Dir. Ernest Dickerson
10,A sangre fría,The ice Harvest,Harold Ramis,10 A sangre fría = The ice Harvest Dir. Harold Ramis,10 A sangre fría = The ice Harvest Dir. Harold Ramis
11,A sangre fría,The way of the gun,Christopher McQuarrie,11 A sangre fría = The way of the gun Dir. Christopher McQuarrie,11 A sangre fría = The way of the gun Dir. Christopher McQuarrie
12,A single man,Un hombre solitario,Tom Ford,12 A single man = Un hombre solitario Dir. Tom Ford.,12 A single man = Un hombre solitario Dir. Tom Ford.
13,Universe,,,13 Universe,13 Universe
14,las nubes,,,14 las nubes,14 las nubes
15,Abajo el telón,,Miguel M,15 Abajo el telón Dir. Miguel M. Delgado,15 Abajo el telón Dir. Miguel M. Delgado
16,"Abandonadas, Las",,Emilio Fernández,"16 Abandonadas, Las Dir. Emilio Fernández","16 Abandonadas, Las Dir. Emilio Fernández"
17,Abel,,Diego Luna,17 Abel Dir. Diego Luna,17 Abel Dir. Diego Luna
18,advocate,,,18 advocate,18 advocate
19,Abraham : the friend of God,,,19 Abraham : the friend of God,19 Abraham : the friend of God
20,"Abrazos rotos, Los",,Pedro Almodóvar,"20 Abrazos rotos, Los Dir. Pedro Almodóvar","20 Abrazos rotos, Los Dir. Pedro Almodóvar"
21,"Abuelo, El",,José Luis Garci,"21 Abuelo, El Dir. José Luis Garci","21 Abuelo, El Dir. José Luis Garci"
22,Aca las tortas,,Juan Bustillo Oro,22 Aca las tortas Dir. Juan Bustillo Oro,22 Aca las tortas Dir. Juan Bustillo Oro
23,Acantilado rojo,Red cliff,John Woo,23 Acantilado rojo = Red cliff Dir. John Woo,23 Acantilado rojo = Red cliff Dir. John Woo
24,Acechada,Twisted,Philip Kaufman,24 Acechada = Twisted Dir. Philip Kaufman,24 Acechada = Twisted Dir. Philip Kaufman
25,Bronenosets Potyomkin,,,25 Bronenosets Potyomkin,25 Bronenosets Potyomkin
26,Acorralada,Trapped,Luis Mandoki,26 Acorralada = Trapped Dir. Luis Mandoki,26 Acorralada = Trapped Dir. Luis Mandoki
27,Actas de Marusia,,Miguel Littin,27 Actas de Marusia Dir. Miguel Littin,27 Actas de Marusia Dir. Miguel Littin
28,activity 4 Schulman,,,28 activity 4 Schulman,28 activity 4 Schulman
29,Acusados,The acussed,Jonathan Kaplan,29 Acusados = The acussed Dir. Jonathan Kaplan,29 Acusados = The acussed Dir. Jonathan Kaplan
30,Adan y Eva (todavía),,Iván Ávila Dueñas,30 Adan y Eva (todavía) Dir. Iván Ávila Dueñas.,30 Adan y Eva (todavía) Dir. Iván Ávila Dueñas.
31,Adiós a Lenin,Good bye Lenin,Wolfgang Becker,31 Adiós a Lenin = Good bye Lenin Dir. Wolfgang Becker,31 Adiós a Lenin = Good bye Lenin Dir. Wolfgang Becker
32,Adiós al lenguaje,Adieu au Langage,Jean Luc Godard,32 Adiós al lenguaje = Adieu au Langage Dir. Jean Luc Godard,32 Adiós al lenguaje = Adieu au Langage Dir. Jean Luc Godard
33,mödrar,,,33 mödrar,33 mödrar
34,Adoradores del Diablo,Devil’s Prey,Bradford May,34 Adoradores del Diablo = Devil’s Prey Dir. Bradford May,34 Adoradores del Diablo = Devil’s Prey Dir. Bradford May
35,"Adultera, La",,Tulio Demicheli,"35 Adultera, La Dir. Tulio Demicheli","35 Adultera, La Dir. Tulio Demicheli"
36,Aeon Flux,,Karyn Kusama,36 Aeon Flux Dir. Karyn Kusama,36 Aeon Flux Dir. Karyn Kusama
37,African Footprint,,Richard Loring,37 African Footprint Dir. Richard Loring,37 African Footprint Dir. Richard Loring
38,Afríca Mía,Out of Africa,Sydney Pollack,38 Afríca Mía = Out of Africa Dir. Sydney Pollack.,38 Afríca Mía = Out of Africa Dir. Sydney Pollack.
39,Vosloo,,,39 Vosloo,39 Vosloo
40,Agentes del desorden,Lets be cops,Luke Greenfield,40 Agentes del desorden = Lets be cops Dir. Luke Greenfield,40 Agentes del desorden = Lets be cops Dir. Luke Greenfield
41,Agentes secretos,Agents secrets,Frederic Schoendoerffer,41 Agentes secretos = Agents secrets Dir. Frederic Schoendoerffer,41 Agentes secretos = Agents secrets Dir. Frederic Schoendoerffer
42,and the ecstasy,,,42 and the ecstasy,42 and the ecstasy
43,Agora,Ágora,Alejandro Amenábar,43 Agora = Ágora Dir.Alejandro Amenábar,43 Agora = Ágora Dir.Alejandro Amenábar
44,Nerlich,,,44 Nerlich,44 Nerlich
45,mizu no socko gara,,,45 mizu no socko gara,45 mizu no socko gara
46,Aguila o Sol,,Arcady Boytler,46 Aguila o Sol Dir. Arcady Boytler,46 Aguila o Sol Dir. Arcady Boytler
47,wrath of God,,,47 wrath of God,47 wrath of God
48,Ahí esta el detalle,,Juan Bustillo Oro,48 Ahí esta el detalle Dir. Juan Bustillo Oro,48 Ahí esta el detalle Dir. Juan Bustillo Oro
49,"Aire de Clara, El",,Sarah Minter,"49 Aire de Clara, El Dir. Sarah Minter.","49 Aire de Clara, El Dir. Sarah Minter."
50,Al caer la noche,After the sunset,Brett Ratner,50 Al caer la noche = After the sunset Dir. Brett Ratner,50 Al caer la noche = After the sunset Dir. Brett Ratner
51,valentines´s day,,,51 valentines´s day,51 valentines´s day
52,Al diablo con el diablo,Bedazzled,Harold Ramis,52 Al diablo con el diablo = Bedazzled Dir. Harold Ramis,52 Al diablo con el diablo = Bedazzled Dir. Harold Ramis
53,Al otro lado,,Gustavo Loza,53 Al otro lado Dir. Gustavo Loza,53 Al otro lado Dir. Gustavo Loza
